id;name
1512;Franklin US Opportunities A(acc)USD
286898;Allianz Euro High Yield Bond A EUR
1047828;CS (Lux) Global Value Equity BH USD
692753;Länsförsäkringar Multistrategi
257890;DNB Fund TMT Abs Return retail A (SEK)
146;Länsförsäkringar Asienfond A
596495;Danske Invest Emerging & Fron Mkts A SEK
3063;HSBC GIF Indian Equity AC
71104;Invesco Euro Corporate Bond A EUR Acc
891313;Invesco Bond A USD SD
202870;Nordea 1 - Alpha 10 MA HB SEK
382860;C WorldWide Asia 1A
32347;HSBC GIF Turkey Equity AC
1960;Nordea Swedish Stars icke-utd
176468;Amundi Fds Japan Equity Val A2 JPY C
459035;PriorNilsson Realinvest A
148528;Sparinvest SICAV Securus EUR R
717;BGF European A2
329335;DNB USA Indeks A
12268;Janus Henderson Hrzn Global Tech A2 USD
855014;Öhman Navigator A
78668;Swedbank Robur Sweden High Dividend
1462;SEB US All Cap Fund C USD - Lux
627796;Atlant Multi-Strategy
693994;Spiltan Globalfond Investmentbolag
891317;Invesco Global High Income A SEKH Acc
1044018;Investerum Basic Value
269548;Case Safe Play
544596;SPP Grön Obligationsfond A
92867;Jupiter Asia Pac Inc L USD Acc
1011195;Consensus Lighthouse Asset A
508256;Handelsbanken Euro Ränta
813855;Sparinvest SICAV VB Glbal Eth HY EUR R
1600;SEB Nordamerikafond Småbolag
70074;AS SICAV I Em Mkts Eq A Acc USD
71134;Invesco US Structured Equity A USD Acc
181850;UBS (Lux) KSS Asian Eqs $ USD P Acc
1984;SEB Sverige Expanderad
2063;SEB Likviditetsfond SEK
15185;Janus Henderson Glb Eq R USD Acc
616837;Invesco Euro Equity A EUR Acc
415688;BNP Paribas US Growth Classic R
1632;Handelsbanken Norge (A1 SEK)
644315;GAM Star Disruptive Gr A USD Acc
372353;Lannebo Corporate Bond A
374277;BGF Global High Yield Bond A2 SEK Hedged
735;Templeton Euroland A (Acc) EUR
929;SEB Europafond Småbolag
313047;Norron Active RC SEK
319516;Jupiter Japan Select L EUR Acc
1901;Aktie-Ansvar Sverige A
330057;MS INVF Global Fixed Income Opps A
69937;Candriam Quant Equities MF Glb C Acc EUR
1971;Lannebo Sverige
106;UBS (Lux) EF China Oppo(USD) P USD acc
2580;East Capital Nya Europa
377804;Avanza 75
70371;Franklin India A(acc)USD
795453;Tellus Bank & Finansfond
436351;SPP Aktiefond Stabil A
620775;Nordea 1 - Emerging Markets Sm Cp BP SEK
573156;Ålandsbanken Norden Aktie SEK
157891;Templeton Frontier Markets A(acc)USD
415681;BNP Paribas India Eq Cl Cap
880693;Coeli Absolute European Equity R SEK
286152;Fidelity China Consumer A-Acc-USD
