id;ticker;name;market;field
732421;SOLBb;Solvay SA;Equiduct;Råvaror
732399;COFBb;Cofinimmo SA;Equiduct;Fastigheter
732428;BPOSTb;Bpost SA;Equiduct;Industri
732446;GIMBb;Gimv Investeringsmaatschappij Voor Vlanderen NV;Equiduct;Finans
732286;ECONBb;Econocom Group SE;Equiduct;Teknik
732310;TNETb;Telenet Group Holding NV;Equiduct;Kommunikation
732288;BARb;Barco NV;Equiduct;Teknik
732335;DIEb;D'Ieteren SA;Equiduct;Konsument, cyklisk
732333;COLRb;Etablissementen Franz Colruyt NV;Equiduct;Konsument, stabil
732359;TUBb;Financiere de Tubize SA;Equiduct;Sjukvård
732311;SOFb;Sofina SA;Equiduct;Finans
732442;ABIb;Anheuser Busch Inbev NV;Equiduct;Konsument, stabil
732336;TESBb;Tessenderlo Group NV;Equiduct;Råvaror
732423;BNBb;Banque Nationale De Belgique SA;Equiduct;Finans
732320;UMIb;Umicore SA;Equiduct;Industri
732424;WDPb;Warehouses de Pauw Comm VA;Equiduct;Fastigheter
732317;ACKBb;Ackermans & Van Haaren NV;Equiduct;Industri
732393;AGSb;Ageas SA;Equiduct;Finans
732416;EURNb;Euronav NV;Equiduct;Energi
732339;MELEb;Melexis NV;Equiduct;Teknik
756438;ONTEXb;Ontex Group NV;Equiduct;Konsument, stabil
732443;ELIb;Elia Group SA;Equiduct;Allmännyttigt
732330;OBELb;Orange Belgium SA;Equiduct;Kommunikation
732400;KBCb;KBC Groep NV;Equiduct;Finans
732325;BEFBb;Befimmo SA;Equiduct;Fastigheter
732283;CFEBb;Aannemingsmaatschappij Cfe NV;Equiduct;Industri
717413;AEDb;Aedifica SA;Equiduct;Fastigheter
732382;UCBb;Ucb SA;Equiduct;Sjukvård
732350;PROXb;Proximus NV;Equiduct;Kommunikation
732358;KBCAb;KBC Ancora BV;Equiduct;Finans
732349;BEKBb;NV Bekaert SA;Equiduct;Industri
1040504;SHURb;Shurgard Self Storage SA;Equiduct;-
732367;GBLBb;Groep Brussel Lambert NV;Equiduct;Finans
964495;RNR;Mariner Resources Corp;Canadian Securities Exchange;-
787054;CRB;Cariboo Rose Resources Ltd;TSX Venture Exchange;Råvaror
76593;MTC;MetalCorp Ltd;TSX Venture Exchange;-
924446;PAU;Provenance Gold Corp;Canadian Securities Exchange;-
655515;RHT;Reliq Health Technologies Inc;TSX Venture Exchange;Sjukvård
860082;LCS;Brompton Lifeco Split Corp;Toronto Stock Exchange;-
924639;JBR;James Bay Resources Ltd;Canadian Securities Exchange;-
435082;MGZ.H;Mangazeya Mining Ltd;TSX Venture Exchange;-
864977;ENS;E Split Corp;Toronto Stock Exchange;-
924666;RDKO;International Cannabrands Inc;Canadian Securities Exchange;-
76487;JP;Jackpot Digital Inc;TSX Venture Exchange;-
690153;AWI;Advent-AWI Holdings Inc;TSX Venture Exchange;-
924467;ACG;Alliance Growers Corp;Canadian Securities Exchange;-
924695;ICAN;Icanic Brands Company Inc;Canadian Securities Exchange;-
1001777;IMCX;IMC International Mining Corp;Canadian Securities Exchange;-
405996;BWR;BWR Exploration Inc;TSX Venture Exchange;-
338997;NL;Northern Lion Gold Corp;TSX Venture Exchange;-
482260;LBS;Life & Banc Split Corp;Toronto Stock Exchange;Finans
310657;PRB;Probe Metals Inc;TSX Venture Exchange;Råvaror
100319;WEED;Canopy Growth Corp;Toronto Stock Exchange;Sjukvård
797233;FYL;Finlay Minerals Ltd;TSX Venture Exchange;-
75951;RGD;Reunion Gold Corp;TSX Venture Exchange;-
